Entity ID,Entity Name
604,"To The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt, President; Ralph Morgan, Chairman of the Executive Committee; Ralph Block, First Vice-President; and Conrad Nagel."
605,To Judy Garland for her outstanding performance as a screen juvenile during the past year.
606,To William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind .
607,To the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.
608,To GEORGE ANDERSON of Warner Bros. Studio for an improved positive head for sun arcs.
609,To JOHN ARNOLD of Metro-Goldwyn-Mayer Studio for the M-G-M mobile camera crane.
610,"To THOMAS T. MOULTON, FRED ALBIN and the SOUND DEPARTMENT OF THE SAMUEL GOLDWYN STUDIO for the origination and application of the Delta db test to sound recording in motion pictures."
611,"To FARCIOT EDOUART, JOSEPH E. ROBBINS, WILLIAM RUDOLPH and PARAMOUNT PICTURES, INC. for the design and construction of a quiet portable treadmill."
612,To EMERY HUSE and RALPH B. ATKINSON of the Eastman Kodak Company for their specifications for chemical analysis of photographic developers and fixing baths.
613,To HAROLD NYE of Warner Bros. Studio for a miniature incandescent spot lamp.
614,To A. J. TONDREAU of Warner Bros. Studio for the design and manufacture of an improved sound track printer.
615,"For important contributions in cooperative development of new improved Process Projection Equipment:  F. R. ABBOTT, HALLER BELT, ALAN COOK and the BAUSCH & LOMB OPTICAL COMPANY for faster projection lenses;  The MITCHELL CAMERA COMPANY for a new type process projection head;  MOLE-RICHARDSON COMPANY for a new type automatically controlled projection arc lamp;  CHARLES HANDLEY, DAVID JOY and the NATIONAL CARBON COMPANY for improved and more stable high-intensity carbons;  WINTON HOCH and the TECHNICOLOR MOTION PICTURE CORP. for an auxiliary optical system;  DON MUSGRAVE and SELZNICK INTERNATIONAL PICTURES, INC. for pioneering in the use of coordinated equipment in the production, Gone with the Wind ."
616,Charles Chaplin
617,Henry Fonda
618,Raymond Massey
619,Albert Basserman
620,William Gargan
621,Jack Oakie
622,James Stephenson
623,Joan Fontaine
624,Ginger Rogers
625,Martha Scott
626,Judith Anderson
627,Jane Darwell
628,Ruth Hussey
629,Barbara O'Neil
630,Marjorie Rambeau
631,"Arise, My Love"
632,Arizona
633,The Boys from Syracuse
634,The Dark Command
635,Foreign Correspondent
636,Lillian Russell
637,My Favorite Wife
638,"My Son, My Son!"
639,Our Town
640,Pride and Prejudice
641,Rebecca
642,The Sea Hawk
643,The Westerner
644,Bitter Sweet
645,Down Argentine Way
646,North West Mounted Police
647,The Thief of Bagdad
648,Abe Lincoln in Illinois
649,"All This, and Heaven Too"
650,Boom Town
651,The Letter
652,The Long Voyage Home
653,Spring Parade
654,Waterloo Bridge
655,The Blue Bird
656,Northwest Passage
657,The Grapes of Wrath
658,Kitty Foyle
659,The Philadelphia Story
660,The Fight for Life
661,The Great Dictator
662,The House of the Seven Gables
663,The Howards of Virginia
664,The Mark of Zorro
665,One Million B.C.
666,Pinocchio
667,Hit Parade of 1941
668,Irene
669,Second Chorus
670,Strike Up the Band
671,Tin Pan Alley
672,You'll Find Out
673,Music in My Heart
674,Rhythm on the River
675,The Milky Way
676,Puss Gets the Boot
677,A Wild Hare
678,London Can Take It
679,More about Nostradamus
680,Quicker 'N a Wink
681,Siege
682,Eyes of the Navy
683,Service with the Colors
684,"Teddy, the Rough Rider"
685,Behind the News
686,Captain Caution
687,Too Many Husbands
688,Dr. Cyclops
689,The Invisible Man Returns
690,Swiss Family Robinson
691,Typhoon
692,Women in War
693,Angels over Broadway
694,Dr. Ehrlich's Magic Bullet
695,The Great McGinty
696,Comrade X
697,"Edison, the Man"
698,"To Bob Hope, in recognition of his unselfish services to the Motion Picture Industry."
699,"To Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years, which has made possible the present efficient mobilization of the motion picture industry facilities for the production of Army Training Films."
700,"To 20TH CENTURY-FOX FILM CORP. for the design and construction of the 20th Century Silenced Camera, developed by DANIEL CLARK, GROVER LAUBE, CHARLES MILLER and ROBERT W. STEVENS."
701,To WARNER BROS. STUDIO ART DEPARTMENT and ANTON GROT for the design and perfection of the Warner Bros. water ripple and wave illusion machine.
702,Cary Grant
703,Orson Welles
704,Charles Coburn
705,Donald Crisp
706,James Gleason
707,Sydney Greenstreet
708,Sara Allgood
709,Mary Astor
710,Patricia Collinge
711,Teresa Wright
712,Margaret Wycherly
713,Citizen Kane
714,The Flame of New Orleans
715,Hold Back the Dawn
716,How Green Was My Valley
717,Ladies in Retirement
718,The Little Foxes
719,Sergeant York
720,Sis Hopkins
721,The Son of Monte Cristo
722,Sundown
723,That Hamilton Woman
724,Blood and Sand
725,Blossoms in the Dust
726,Louisiana Purchase
727,The Chocolate Soldier
728,Here Comes Mr. Jordan
729,Sun Valley Serenade
730,Aloma of the South Seas
731,Billy the Kid
732,Dive Bomber
733,Adventure in the Bronx
734,Bomber
735,Christmas under Fire
736,Churchill's Island
737,Letter from Home
738,Life of a Thoroughbred
739,Norway in Revolt
740,A Place to Live
741,Russian Soil
742,Soldiers of the Sky
743,War Clouds in the Pacific
744,All That Money Can Buy
745,Back Street
746,Ball of Fire
747,Cheers for Miss Bishop
748,King of the Zombies
749,Lydia
750,Mercy Island
751,So Ends Our Night
752,Suspicion
753,Tanks a Million
754,That Uncertain Feeling
755,This Woman Is Mine
756,All-American Co-Ed
757,Birth of the Blues
758,Buck Privates
759,Dumbo
760,Ice-Capades
761,The Strawberry Blonde
762,Sunny
763,You'll Never Get Rich
764,Ridin' on a Rainbow
765,Blues in the Night
766,Las Vegas Nights
767,Lady Be Good
768,The Maltese Falcon
769,One Foot in Heaven
770,Boogie Woogie Bugle Boy of Company B
771,Hiawatha's Rabbit Hunt
772,How War Came
773,Lend a Paw
774,The Night before Christmas
775,Rhapsody in Rivets
776,Rhythm in the Ranks
777,The Rookie Bear
778,Superman
779,Truant Officer Donald
